p_std: 5.00, v_std: 0.10
bad:
261, 0.8235337578807274
262, 0.8545516040279978
263, 0.9326365817807208
264, 0.9614672523247281
265, 0.9959664591972385
266, 1.1229139946922109
267, 1.1724522934456734
268, 1.1916443549156865
269, 1.2508234191410865
270, 1.3198443103070914
271, 1.349019252775773
272, 1.3538224308989677
273, 1.367435208105293
274, 1.3513843173980087
275, 1.3881314540086456
276, 1.3831913638959774
277, 1.3619346194306003
278, 1.379670924270504
279, 1.4075811806541099
280, 1.4417643576826153
281, 1.4824458436831487
282, 1.484465498888118
283, 1.5175177787296301
284, 1.571844489936481
285, 1.4998490266574889
286, 1.5788058018836593
287, 1.5302717479405736
288, 1.565797781514876
289, 1.6356432307855597
290, 1.6392583663520373
291, 1.7104724460983252
292, 1.6344195517917397
293, 1.6641793366616116
294, 1.6539798848871308
295, 1.6445430693359633
296, 1.6846911931181374
297, 1.7042883328891707
298, 1.6668376470006243
299, 1.7351472456923398
300, 1.6895583902630227
301, 1.7226085931323114
302, 1.7562925847508544
303, 1.7102900389296918
304, 1.7203314301593113
305, 1.7595619203696407
306, 1.745777759688508
307, 1.7637639406189913
308, 1.737347069593785
309, 1.7263480966580587
310, 1.7112820375482114
311, 1.7719537232486746
312, 1.7579462744733492
313, 1.7187966328127469
314, 1.7041569869355289
315, 1.726161893418407
316, 1.749798791151072
317, 1.7747369138048426
318, 1.793511008854382
319, 1.7599844350285128
320, 1.777463955909959
321, 1.8293517345356973
322, 1.9074656385736672
323, 1.9076427583513569
324, 1.9430368238110023
325, 1.9045208609910884
326, 1.9005760644788126
327, 1.9503416360526278
328, 1.9394431426532988
329, 1.9509723120921902
330, 1.9988438176204752
331, 1.9399842259220659
332, 2.012826822290378
333, 1.9808601066176017
334, 1.9915747564459214
335, 1.9766820320396035
336, 1.954107611436136
337, 2.0115729061061467
338, 1.998789839355148
339, 2.003727497424238
340, 2.070199751984351
341, 2.0097886677195747
342, 2.0223146264738414
343, 2.0288661340957854
344, 2.009440896877635
345, 2.048178784269377
346, 2.0523482504217867
347, 2.0994440257933835
348, 2.065196171970397
349, 2.097948609236329
350, 2.091430782220528
351, 2.161565532017818
352, 2.1455646948434217
353, 2.1187110112378704
354, 2.1920758491916112
355, 2.1915156724212785
356, 2.155461510226411
357, 2.1585487377592587
358, 2.170652108674003
359, 2.169102192907121
360, 2.23784166932091
361, 2.239414464822267
362, 2.2010597747478937
363, 2.202008958699468
364, 2.2503495156549946
365, 2.202104125687335
366, 2.232995595562753
367, 2.2038935123663657
368, 2.240485308298706
369, 2.2527152385401124
370, 2.2872902674816906
371, 2.244719039074085
372, 2.265348035254414
373, 2.270813800921437
374, 2.2559584218429234
375, 2.2408587900433776
376, 2.2849152626231053
377, 2.156829879337179
378, 2.160792280218404
379, 2.1617757520258305
380, 2.144290874977719
381, 2.1348609196069765
382, 2.1634600369285795
383, 2.1415265448466068
384, 2.130929480310009
385, 2.2064186350032657
386, 2.163480051359138
387, 2.153583811214255
388, 2.17699413542255
389, 2.1587191431771457
390, 2.1309366488293646
